affiliation,result
"Texas A&M University - Central Texas Killeen, TX, USA","Texas A&M University / Central Texas, 1001 Leadership Place, Killeen, TX 76549, United States of America"
"Texas A&M University - Central Texas Killeen, USA","Texas A&M University / Central Texas, 1001 Leadership Place, Killeen, TX 76549, United States of America"
"Shandong Xiehe University, China","250100 China, Shandong, Licheng District, Dongqu, S102, Shandong Xiehe University"
Shandong Xiehe University,"250100 China, Shandong, Licheng District, Dongqu, S102, Shandong Xiehe University"
"Rochester Institute of Technology Rochester NY, USA","Rochester Institute of Technology, 1 Lomb Memorial Drive, City of Rochester, NY 14623, United States of America"
"Rochester New York, USA","City of Rochester, New York, United States of America"
"Alabama State University Montgomery, AL, USA","Alabama State University, 915 South Jackson Street, Montgomery, AL 36104, United States of America"
"Auburn University Auburn, AL, USA","Auburn University, Auburn, AL 36849, United States of America"
"and Technology Auburn University, Auburn, AL, USA","Technology Park, Auburn, AL, United States of America"
"Shinas College of Technology Shinas, Oman","Shināş, Al Batinah, Oman"
"Department of Information Technology R. V. R & J.C College of Engineering, Chowdavaram, Guntur, AP, India","Department of Information Technology R. V. R & J.C College of Engineering, Chowdavaram, Guntur, AP, India"
"Dept. of Information Technology, Shinas College of Technology, Oman",Oman
"College Park MD, USA","College Park, Maryland, United States of America"
"Greenbelt MD, USA","Court 6A, Greenbelt, MD 20770, United States of America"
"Virginia Tech, Arlington, USA","Virginia Tech Research Center - Arlington, 900 North Glebe Road, Arlington, VA 22203, United States of America"
NASA,"National Aerocosmic Agency, 1 Suleyman Sani Akhundov street, AZ 1130, Azerbaijan"
"Lincoln NE, USA","Lincoln, Nebraska, United States of America"
"ZhengZhou HeNan, China","Zhengzhou, Henan, China"
"State Grid Henan Information & Telecommunication Company, Zhengzhou, China","Zhengzhou, Henan Sheng, China"
"Zhengzhou Henan, China","Zhengzhou, Henan, China"
"DaLian Marimtime University DaLian, China","Dalian, Dalian Shi, China"
"Dalian Maritime University Dalian, China","116026 China, Liaoning, Ganjingzi District, Lingshui, Huangpu Road 1号, Dalian Maritime University"
"The University of Tokyo, Tokyo, Japan","Tokyo University of the Arts, 千住ほんちょう商店街, Senju, Adachi, 120-0034, Japan"
State Grid XuZhou Power Supply Company,State Grid XuZhou Power Supply Company
"Dept. of CSE, Sathyabama Institute of Science and Technology (Deemed To Be University), Chennai","Chennai, India"
"Dayananda Sagar College of Arts Science and Commerce Bangalore, India","Bangalore, Bangalore Urban, India"
"Jinzhou Liaoning, China","121000 China, Liaoning"
"Xi'an Jiaotong University City College Xi'an, China","Xi'an, Shaanxi, China"
"Xi’an Jiaotong University City College Xi’an, Shaanxi, China","Xi'an, Shaanxi, China"
"Guangdong University of Science and Technology Dongguan, China","Dongguan, Guangdong, China"
"Chouaib Doukkali University El Jadida, Morocco","Chouaib Doukkali University, Boulevard Driss Chraibi, 24000 El Jadida, Morocco"
"Economic and Social Sciences Laboratory of Artificial Intelligence & Complex Systems Engineering, Hassan II University, Casablanca, Morocco","Economic and Social Sciences Laboratory of Artificial Intelligence & Complex Systems Engineering, Hassan II University, Casablanca, Morocco"
"Faculty of Sciences Ben M'sik Hassan II University, Casablanca, Morocco","Casablanca, Morocco"
"Hassan II University Casablanca, Morocco","Casablanca, Morocco"
"Huainan Normal University Huainan, China","Huainan, Anhui Sheng, China"
"Azerbaijan State Oil and Industry University, Baku, Azerbaijan","Baku, Baku City, Azerbaijan"
"Kharkov National University of Radioelectronics, Ukraine",Ukraine
"Kharkov National University of Radio Electronics Kharkov, UKRAINE","Kharkivs’ka Oblast’, Ukraine"
"Kharkov National University of Radioelectronics Kharkov, Ukraine","Kharkivs’ka Oblast’, Ukraine"
"King Mongkut's Institute of Technology Ladkrabang Bangkok, Thailand","King Mongkut's Institute of Technology Ladkrabang, Chalong Krung Road, Lat Krabang District, 10520, Thailand"
"PSIT college of Higher Education, Kanpur, India","Kānpur, India"
"Galgotias university Greater Noida, India","Galgotias University, Yamuna Expressway, Gautam Buddha Nagar District, Greater Noida - 203200, Uttar Pradesh, India"
"Galgotias University Greater Noida, India","Galgotias University, Yamuna Expressway, Gautam Buddha Nagar District, Greater Noida - 203200, Uttar Pradesh, India"
"Nankai University, Tianjin, China","300381 China, Tianjin, Nankai District, Nankai, Shuishanggongyuan, Tongyuan Road, Nankai University"
"The University of Texas, Dallas","The University of Texas at Dallas, Loop Road, Richardson, TX 78080, United States of America"
"University of Rochester Rochester, United States","University of Rochester River Campus, Genesee Riverway Trail, City of Rochester, NY 14627, United States of America"
"Richardson TX, US","Richardson, Texas, United States of America"
"University of Texas at Dallas (UT Dallas) Richardson, TX, USA","Richardson, Texas, United States of America"
"Chengdu University of Information Technology Chengdu, Sichuan, China","China, Sichuan, Shuangliu District, 常乐社区, 夜市一条街, Chengdu University of Information Technology"
"Memorial University of Newfoundland St. John's, NL, Canada","Memorial University of Newfoundland and Labrador, Kerwin Place, Saint John's, NL A1B 5S7, Canada"
"Middle East College Knowledge Oasis Muscat, Oman","Muscat, Muḩāfaz̧at Masqaţ, Oman"
"Ewha Womans University Seoul, Republic of Korea","South Korea, Seoul, Sinchon-dong, Ewhayeodae-gil 52, Ewha Womans University, 03760"
"Yonsei University College of Medicine Seoul, Republic of Korea","South Korea, Seoul, Sinchon-dong, Yonsei-ro 50, 03722"
"Xi’an Eurasia University, Xi’an, China","Xi'an, Shaanxi, China"
"Xi’an Eurasia University Xi’an, China","Xi'an, Shaanxi, China"
"Le Xi'an Eurasia University Xi'an, Ly Shaanxi, China","Shaanxi, China"
"Xi'an Eurasia University Xi'an, China","Xi'an, Shaanxi, China"
"University of Pretoria Pretoria, South Africa","University of Pretoria, 23 Lynnwood Road, Baileys Muckleneuk, Pretoria, 0028, South Africa"
"University of Massachusetts Chan Medical School Worcester, MA, USA","Massachusetts Ave, Worcester, MA, United States of America"
"University of Massachusetts Dartmouth North Dartmouth, MA, USA","Massachusetts Ave, North Dartmouth, MA, United States of America"
"Princeton NJ, USA","Princeton, New Jersey, United States of America"
"Stevens Institute of Technology, USA","Stevens Institute of Technology, Sinatra Drive, Hoboken, NJ 07030, United States of America"
"Wuhan Business University Wuhan, China","China, Hubei, Hannan District, Zhuanyang Subdistrict, HouGuanHu Avenue, Wuhan Business University"
"Galgotias University, G. Noida, India","Noida, Gautam Buddha Nagar, India"
"Chitkara University Institute of Engineering and Technology Punjab, India","Punjab, India"
"Director Engineering, Chandigarh Engineering College, Jhanjeri","Director Engineering, Chandigarh Engineering College, Jhanjeri"
"State Grid Jiangsu Information & Telecommunication Company, Nanjing, China","Nanjing, Jiangsu Sheng, China"
State Grid Jiangsu Electric Power Company,State Grid Jiangsu Electric Power Company
"LTD. Information & Telecommunication Branch Nanjing, China","Nanjing, Jiangsu Sheng, China"
"Deakin University Blackburn South, Australia","Blackburn South, Whitehorse, Australia"
"National Digital Trust Centre, Nanyang Technological University, Singapore",Singapore
"Faculty of Data Science Macau, Macau","Macau, Brazil"
"Zhejiang Normal University Zhejiang, China","321004 China, Zhejiang, Wucheng District, 柳湖社区, 迎宾大道 688, Zhejiang Normal University"
"Gannan Medical University Ganzhou, China","Ganzhou Shi, China"
"Global Institute of Software Technology Suzhou, China","Suzhou, Jiangsu Sheng, China"
"Northeastern University Shenyang, China","110819 China, Liaoning, Shenyang City, Nanhu Subdistrict, 自强路 11号, Northeastern University (China)"
"Computing in Medical Image (MIIC) Ministry of Education Shenyang, China","Shenyang, Shenyang Shi, China"
"Raj kumar Goel Institute of Technology Ghaziabad, India","Ghāziābād, India"
"Coimbatore Tamil Nadu, India","Coimbatore, Coimbatore North, India"
"Uttaranchal University, Dehradun, India","Uttaranchal University, Nanda Ki Chowki to UPES, Dehradun District, Kolhūpāni - 248007, Uttarakhand, India"
"SR University Waranagl, Telanagana","SR University Waranagl, Telanagana"
"Lovely Professional University, Phagwara","Lovely Professional University, NH44, Kapurthala District, Phagwara - 144411, Punjab, India"
"Faculty of Management Sciences, Durban University of Technology, South Africa",South Africa
"Department of Computer Science, IT Sol Plaatje University Kimberley, South Africa","Kimberley, Frances Baard District Municipality, South Africa"
"28 Pioneer Avenue Florida Park, South Africa","Pioneer Avenue, Florida Park, Roodepoort, 2709, South Africa"
"The University of Newcastle Newcastle, Australia","The University of Newcastle, Newcastle, Australia"
"The University of Newcastle Callaghan, NSW, Australia","Callaghan, Newcastle, Australia"
"Sri Shakthi Institute of Engineering & Technology Chinniampalayam, Coimbatore","Coimbatore, Coimbatore district, India"
"Head/Department of CSE, Government College of Enginnering, Salem","Salem district, India"
"Department of Computer Science, University of Warwick","Warwick University, Coventry, England, United Kingdom"
"Shaanxi Xueqian Normal University Xi'an, China","710100 China, Shaanxi, Chang'an District, 神禾二路 101, Shaanxi Xueqian Normal University Chang'an Campus"
"University of Zagreb Unska 3, Zagreb, Croatia","Zagreb, Grad Zagreb, Croatia"
"CAST Beijing, China","Beijing, Beijing Shi, China"
"Hubei University Wuhan, China","430062 China, Hubei, Wuchang District, 滨江商务区, 友谊大道, Hubei University"
"Wuhan University Wuhan, Hubei, China","430072 China, Hubei, Hongshan District, 珞南街道, 八一路 299号, Wuhan University"
"Tencent T Lab, Beijing, China","Beijing, Beijing Shi, China"
"Hulunbuir university, Hulunbuir","Hulunbuir university, Hulunbuir"
Economics and Management school Xi'an Petrol University Xi'an China,"Xi'an, Shaanxi, China"
"University of Calabria Rende, Italy","Rende, Cosenza, Italy"
"Khalifa University Abu Dhabi, UAE","Khalifa University, Riqay'ah Street, Hadbat Al Za'faranah, Abu Dhabi, Abu Dhabi Emirate, United Arab Emirates"
"McLean VA, USA","McLean, VA 22107, United States of America"
"CSIRO Oceans and Atmosphere Hobart Tasmania, Australia","Hobart, Australia"
"Inc. Sunnyvale, CA, USA","Trimble Inc., 510 Stewart Drive, Sunnyvale, CA 94085, United States of America"
National Institute of Standards and Technology,"100, Gaithersburg, MD 20899, United States of America"
"Pusan National University Busan, South Korea","South Korea, Busan, Jangjeon 1(il)-dong, Geumgang-ro 335beon-gil, Pusan National University, 46282"
"Convergence Engineering Pusan National University, Republic of Korea",South Korea
"University of Western Ontario London, Canada","ON, Canada"
"Western University London, ON, Canada","Western University, Windermere Road, London, ON N6G 2V4, Canada"
"Global Energy Interconnection Research Institute co. Ltd Beijing, China","Beijing, Beijing Shi, China"
"Global Energy Interconnection Research Institute Beijing, China","Beijing, Beijing Shi, China"
"North China University of Technology Beijing, China","100043 China, Beijing, Shijingshan District, Pingguoyuan, 晋元庄路 5号, North China University of Technology"
"Global Energy Interconnection Research Institute co.Ltd Beijing, China","Beijing, Beijing Shi, China"
"(State Grid Smart Grid Research Institute Co. Ltd), Beijing, China","Beijing, Beijing Shi, China"
"University of Manitoba Winnipeg, MB, Canada","University of Manitoba, Markham Road, Winnipeg, MB R3T 2G8, Canada"
"Big Data Center of State Grid Corporation of China, Beijing, China","Beijing, Beijing Shi, China"
"State Grid Co., Ltd. big data Center","Zou Department, Benin"
"Ltd. Fujian, China","Fujian Luoyuan Minguang Iron & Steel Co., Ltd. Gas Power Project, Luoyuan County, Fujian, China"
"Department of Computing, Middle East College, Oman",Oman
"Middle East College Muscat, Oman","Middle East college, Muscat Expressway, 124, Rusayl, Oman"
"Carlsbad CA, USA","Carlsbad, California, United States of America"
"No.5 Brigade of Postgraduate Dalian, China","Dalian, Dalian Shi, China"
"Dalian Naval Academy Dalian, China","Dalian, Dalian Shi, China"
"Dalian Navy Academy Dalian, China","Dalian, Dalian Shi, China"
"GE Global Research Niskayuna, NY, USA","Niskayuna, New York, United States of America"
GE Research,"Niskayuna, New York, United States of America"
"AI Knowledge & Big Data Niskayuna, NY, USA","New York, New York, United States of America"
"Niskayuna NY, USA","Niskayuna, NY 12309, United States of America"
"Melbourne University Melbourne, Australia","University of Melbourne (Fishermans Bend Campus Phase 1), Port Melbourne VIC 3207, Australia"
"Chandigarh University Gharuan, Punjab, India","Chandigarh University, Ludhiana - Chandigarh Highway, Sahibzada Ajit Singh Nagar District, Gharuan - 140413, Punjab, India"
"Chandigarh University Mohali, India","Mohali, Ajitgarh, India"
"Polytechnic School University of Sao Paulo, Sao Paulo, Brazil","São Paulo, Brazil"
"University of São Paulo São Paulo, Brazil","São Paulo, Brazil"
"Research and Extension Group Polytechnic School University of São Paulo, São Paulo, Brazil","Research and Extension Group Polytechnic School University of São Paulo, São Paulo, Brazil"
"EFVM Vale S. A., Vitoria, Brazil","Vitória, Brazil"
"Ltd Tianjin, China","Tianjin Binhai Energy Development Co., Ltd. Heat Source Plant No. 4, Binhai New Area, Tianjin, China"
"Data Center State Grid Chongqing Electric Power Company Information Communication Branch, Chongqing, China","Data Center State Grid Chongqing Electric Power Company Information Communication Branch, Chongqing, China"
"Guilin University of Electronic Technology Guilin, China","541004 China, Guangxi, Lingchuan County, Guilin, Lingchao Line, Guilin University of Electronic Technology, Huajiang Campus"
"Big Data Application Room Ecological Environment Big Data Application Center, Chongqing, China","Big Data Application Room Ecological Environment Big Data Application Center, Chongqing, China"
"Northwest Minzu University Lanzhou, China","Lanzhou, Gansu Sheng, China"
"Northwest Minzu University Lanzhou, Gansu, China","Lanzhou, Gansu Sheng, China"
"Department of Computer Science & Applications Sagar,India","Sāgar, India"
"Department of Computer Science and Applications Sagar,MP,India",India
"Design & Research Institute CO. LTD Beijing, China","Beijing, Beijing Shi, China"
"Information Center of CAAC Beijing, China","Beijing, Beijing Shi, China"
"Zaozhuang University Zaozhuang, China","Zaozhuang, Shandong Sheng, China"
"Shandong Management University Jinan, China","Jinan, Shandong Sheng, China"
"ETRI Daejeon, Korea","South Korea, Daejeon, Sinseong-dong, Gajeong-ro 270, 34130"
"Electronics and Telecommunication Research Institute Daejeon, South Korea","Daejeon, South Korea"
"Business School of Jianghan University Wuhan City, P.R.China","Business School of Jianghan University Wuhan City, P.R.China"
"Hohai University Nanjing, China","210024 China, Jiangsu, Gulou District, 宁海路街道, 西康路 1, Hohai University (Xikanglu Campus)"
"San Jose State University San Jose, United States","San José State University, 1 South 7th Street, San Jose, CA 95192, United States of America"
"Hohai University Nanjing, Jiangsu, China","210024 China, Jiangsu, Gulou District, 宁海路街道, 西康路 1, Hohai University (Xikanglu Campus)"
"Hubei University of Technology Wuhan, Hubei","430068 China, Hubei, Hongshan District, 狮子山街道, 南李路, Hubei University of Technology"
"Government Big Data Institute, Bangkok, Thailand","Bangkok, Thailand"
"Academy of Army Armored Force Beijing, China","Beijing, Beijing Shi, China"
"Army Academy of Armored Forces Beijing, China","Beijing, Beijing Shi, China"
"Academy of Army Armored Forces Beijing, China","Beijing, Beijing Shi, China"
"Universidad de La Frontera, Temuco, CL","Universidad de La Frontera, Francisco Salazar 01145, 481 1161 Temuco, Chile"
"“Camilo Cienfuegos”, WaKe Research Universidad de Matanzas, Cuba","Matanzas, Cuba"
"University of Alicante, San Vicente del Raspeig, Spain","San Vicent del Raspeig, Valencia, Spain"
"ANLI PARTNERS Beijing, China","Beijing, Beijing Shi, China"
"Hangzhou Power Supply Company Hangzhou, China","Hangzhou, Zhejiang Sheng, China"
"Guangxi Normal University Guilin, China","541001 China, Guangxi, Xiufeng District, Xiufeng Subdistrict, 正阳路, Guangxi Normal University"
"Dhurakij Pundit University Bangkok, Thailand","Bangkok, Thailand"
"Stratebi Business Solutions Ltd., Madrid, Spain","Madrid, Spain"
"Lucentia Research Group University of Alicante, San Vicente del Raspeig, Alicante, Spain","San Vicent del Raspeig, Valencia, Spain"
"Alicante Institute for Health and Biomedical Research (ISABIAL), Alicante, Spain","Alicante, Valencia, Spain"
"Lucentia Research Group University of Alicante, Sant Vicente del Raspeig, Alicante, Spain","Alicante, Valencia, Spain"
"Shenzhen University Shenzhen, China","518060 China, Guangdong Province, Nanshan District, Nantou Sub-district, Nanhai Boulevard 3688, Shenzhen University"
"Guangdong Laboratory of Artificial Intelligence and Digital Economy (SZ), Shenzhen, China","Shenzhen, China"
"Shanxi University of Finance and Economics, Taiyuan, China","Taiyuan, Shanxi Sheng, China"
"LTD Nanjing, Jiangsu, China","Nanjing, Jiangsu Sheng, China"
"Security of State Grid Smart Grid Research Institute Co. LTD, Nanjing, Jiangsu, China","Nanjing, Jiangsu Sheng, China"
"Changchun University of Science and Technology Changchun Jilin, China","130000 China, Jilin, Changchun City, Qinghe Subdistrict, 西朝阳南胡同, Jilin University (Chaoyang Campus)"
"Changchun University of Science and Technology Changchun, China","130000 China, Jilin, Changchun City, Qinghe Subdistrict, 西朝阳南胡同, Jilin University (Chaoyang Campus)"
"Changchun Jilin, China","Changchun City, Jilin, China"
"hangchun University of Science and Technology Changchun, China","Changchun, Changchun Shi, China"
"Officers College of PAP, Chengdu, China","China, Sichuan, Shuangliu District, Huayang, Jingxiao Road 1st Section, Officers college of PAP"
"Sutcu Imam University Faculty of Engineering and Architecture, Kahramanmaraş, Türkiye","Kahramanmaraş, Kahramanmaras, Turkey"
"University of California Santa Barbara, USA","University of California, Santa Barbara, 552 Sally Port, Santa Barbara, CA 93106, United States of America"
"Engineering Faculty Gazi University, Ankara, Türkiye","Gazi University Engineering Faculty, Yükseliş Sk. 5, 06570 Çankaya, Turkey"
"Structural Materials Niskayuna, NY, USA","Schenectady, New York, United States of America"
"Additive Technologies Niskayuna, NY, USA","Technology Dr, Schenectady, NY, United States of America"
"University of Ibn Tofail Kenitra, Morocco","Kenitra, Morocco"
"Ibn Tofail University Kenitra, Morocco","Kenitra, Morocco"
"Traitement de l’information Mécanique et Energétique, Département de Physique, Faculté des Sciences, Université Ibn Tofail, Kénitra, Morocco","Traitement de l’information Mécanique et Energétique, Département de Physique, Faculté des Sciences, Université Ibn Tofail, Kénitra, Morocco"
"Academy of The National Territorial Planning, Heilongjiang, P. R. China",China
"Beijing University of Civil Engineering and Architecture, Beijing, China","102401 China, Beijing, Daxing District, 1号楼出口, Beijing University of Civil Engineering and Architecture"
"Information Center of Ministry of Natural Resources of P.R. China, Beijing, China","Beijing, Beijing Shi, China"
"Information Center of Ministry of Natural Resources, Beijing, China","Beijing, Beijing Shi, China"
"Shenzhen Technology University Shenzhen, China","518118 China, Guangdong Province, Pingshan District, Shijing Sub-district, Lantian Road, Shenzhen Technology University"
"Jiangsu Academy of Safety Science and Technology Nanjing, China","Nanjing, Jiangsu Sheng, China"
"ltd Nanjing, China","Nanjing Nangang Industrial Development Co., Ltd. Power Project, Jiangbei New Area, Jiangsu, China"
"Big Data Research Center Najafabad Branch Islamic Azad University, Najafabad, Iran","Najafābād, Isfahan, Iran"
"Najafabad branch Islamic Azad University, Najafabad, Isfahan, Iran","Najafābād, Isfahan, Iran"
"Dalian Neusoft Inst. of Inf., Dalian, China","Dalian, Dalian Shi, China"
"Department of Information Systems, City University of Hong Kong, Hong Kong",Hong Kong
"City Univ. of Hong Kong Hong Kong, China","000000 China, Hong Kong, Sham Shui Po District, Shek Kip Mei, Tat Chee Avenue, City University of Hong Kong"
"Amity University UP, India","Amity University, East End Lake Road, Lucknow District, Chinhat - 227105, Uttar Pradesh, India"
"Amity University, Noida, India","Amity University, Noida, Noida-Greater Noida Expressway, Gautam Buddha Nagar District, Dadri - 201313, Uttar Pradesh, India"
,
"International Research Center of Big Data for Sustainable Development Goals, Beijing, China","Beijing, Beijing Shi, China"
"Aerospace Information Research Institute Chinese Academy of Sciences, Beijing, China","Beijing, Beijing Shi, China"
"Electrical and Communication Engineering, University of Chinese Academy of Sciences, Beijing, China","Beijing, Beijing Shi, China"
"Chinese Academy of Sciences Beijing, China","100824 China, Beijing, Yuetan, Sanlihe Road 52, Chinese Academy of Sciences"
"College of Computer Science and Software Engineering Shenzhen University, Shenzhen, China","Shenzhen, China"
"State Grid Corporation of China, Beijing, China","101422 China, Beijing, Huairou District, Quanhe, Jingmi Expressway, State Grid Corporation of China"
"State Grid Anhui Electric Power Co. Ltd, Hefei, China","Hefei, Anhui Sheng, China"
"Ltd. Beijing, China","Beijing Economic and Technological Development Area, Daxing District, Beijing, China"
"Beijing State Grid Xintong Accenture Information Technology Co. Ltd, Beijing, China","Beijing, Beijing Shi, China"
"Foshan Polytechnic Foshan, China","Foshan, Guangdong, China"
"Sichuan Normal University Chengdu, China","610066 China, Sichuan, Chengdu, Shizishan, 菱安路, Sichuan Normal University"
"Harbin Institute of Technology Harbin, China","150000 China, Heilongjiang, Harbin, Songhuajiang, Haicheng Street, Harbin Institute of Technology"
"PCCOE Pune, India","Pimpri Chinchwad College Of Engineering, Krantisinha Nana Patil Road, Pune District, Pimpri-Chinchwad - 412110, Maharashtra, India"
"Vaddeswaram AP, India","Guntur, Vaddeswaram - 522502, Andhra Pradesh, India"
"Huazhong Agricultural University Wuhan, China Hubei Engineering Technology, Research Center of Agricultural, Big Data, Wuhan, China","Huazhong Agricultural University Wuhan, China Hubei Engineering Technology, Research Center of Agricultural, Big Data, Wuhan, China"
"Huazhong Agricultural University Wuhan, China","430070 China, Hubei, Hongshan District, 狮子山街道, 狮子山大道 1, Huazhong Agricultural University"
"Huazhong Agricultural University Wuhan Hubei, China","430070 China, Hubei, Hongshan District, 狮子山街道, 狮子山大道 1, Huazhong Agricultural University"
"Army Officer Academy Hefei, China","Hefei, Anhui Sheng, China"
"Ltd Shanghai, China","Shanghai Tobacco Machinery Co., Ltd., Pudong, Shanghai, China"
"Sichuan University Chengdu, china","China, Sichuan, Shuangliu District, Xihanggang, Huanghe South Road, Sichuan University (Jiang'an Campus)"
"College of Business and Economics, California State University-Los Angeles, Los Angeles","Lagos, Nigeria"
"Department of Information Systems, California State University, Los Angeles","Los Angeles, California, United States of America"
"Concordia University Montreal, Quebec, Canada","Concordia University (SGW Campus), Crescent Street, Montreal, QC H3G 2B6, Canada"
"Hosei University Tokyo, Japan","Tokyo, Tōkyō, Japan"
"Guangdong Peizheng College, Guangzhou, China","Guangzhou, Guangdong, China"
"Chongqing College of Electronic Engineering Chongqing, China","401331 China, Chongqing, Shapingba District, Chenjiaqiao, Shengde Road, Chongqing College of Electronic Engineering"
"Chongqing College of electronic engineering Chongqing, China","401331 China, Chongqing, Shapingba District, Chenjiaqiao, Shengde Road, Chongqing College of Electronic Engineering"
"Shandong University of Political Science and Law Jinan, China","Jinan, Shandong Sheng, China"
"Big Data Institute Shenzhen University, Shenzhen, China","Shenzhen, China"
"State Grid Xinjiang Electric Power Co. Ltd., Urumqi, China","Wulumuqi, Xinjiang Uygur Zizhiqu, China"
"State Grid Xinjiang Power Co. Ltd. Urumqi, China","Wulumuqi, Xinjiang Uygur Zizhiqu, China"
"LTD Information and Telecommunication Company, Urumqi, China","Wulumuqi, Xinjiang Uygur Zizhiqu, China"
"Ltd. Urumqi, China","Wulumuqi, Xinjiang Uygur Zizhiqu, China"
"Huazhong University of Science and Technology Wuhan, China","430074 China, Hubei, Hongshan District, 关东街道, 珞喻路 1037号, Huazhong University of Science and Technology"
"Manav Rachna International Institute of Research and Studies Faridabad, India","Farīdābād, Faridabad District, India"
"Manipal University Jaipur Jaipur, Rajasthan","Manipal University Jaipur, GHs Footpath, Jaipur District, Dahmi Kalan - 303007, Rajasthan, India"
"College of Information and Electrical Engineering, China Agricultural University","University, Lafayette County, Mississippi, United States of America"
"Beijing University of Technology Beijing, China","100122 China, Beijing, Chaoyang District, 艺术广场, Beijing University of Technology"
"University of Chinese Academy of Sciences, Beijing, China","100101 China, Beijing, Chaoyang District, 林萃东路, University of Chinese Academy of Sciences (Olympic Village Campus)"
"Institute of Computing Technology Chinese Academy of Sciences, Beijing, China","Beijing, Beijing Shi, China"
"Test Resource Management Center (TRMC) Alexandria, VA","Alexandria, Virginia, United States of America"
"Naval Air Systems Command (NAVAIR) Arlington, VA","Newville Rd, Disputanta, VA, United States of America"
"Syracuse University Syracuse, United States","110 Fineview Place, City of Syracuse, NY 13210, United States of America"
"Environmental Sciences Division Oak Ridge National Laboratory, Oak Ridge, TN, USA","E Division Rd, Oak Ridge, TN, United States of America"
"Environmental Sciences Division Oak Ridge,Tennessee,USA","E Division Rd, Oak Ridge, TN, United States of America"
"Bhagalpur University Bhagalpur, India","Bhāgalpur, India"
"Policy and Management, Delft University of Technology, Delft, The Netherlands","Delft, Netherlands"
"Tilburg University Tilburg, The Netherlands","Tilburg University, Professor Cobbenhagenlaan, 5037 DW Tilburg, Netherlands"
"Delft University of Technology Delft, Nethderlands","Delft University of Technology Delft, Nethderlands"
"Beijing University of Chinese Medicine Beijing, China","100029 China, Beijing, Chaoyang District, Hepingjie, 北三环东路 11号, Beijing University of Chinese Medicine West Campus"
"Henan University Kaifeng, China","China, Henan, Shunhe Hui District, Tieta Subdistrict, Xiyue Road, Henan University (Minglun Campus)"
"Kaifeng Henan, China","Bafucun, Xiangfu District, China"
"Henan University Kaifeng, Henan, China","China, Henan, Shunhe Hui District, Tieta Subdistrict, Xiyue Road, Henan University (Minglun Campus)"
"Harbin Guangsha University, Harbin, China","Harbin, Heilongjiang Sheng, China"
"Guangzhou City University of Technology, Guangzhou, China","China, Guangdong Province, Huadu District, Xiuquan, Xuefu Road, Guangzhou City University of Technology"
"Tunxi Anhui, China","Huangshan, Tunxi District, China"
"Zhejiang Gongshang University Hangzhou, China","310012 China, Zhejiang, Hangzhou, Xixi, Jiaogong Road 149号, Zhejiang Gongshang University"
"Chunghwa Telecom Laboratories Taoyuan, Taiwan","Taoyuan, Taiwan"
"Guangzhou Nanyang Polytechnic, Guangzhou, China","Guangzhou, Guangdong, China"
"Chengdu Polytechnic Chengdu, PR China",China
"Institute of Advanced Study and School of Business Chengdu University, Chengdu, China","Chengdu, Sichuan Sheng, China"
"Shandong Technician College of Water Conservancy Zibo, China","Zibo, Shandong Sheng, China"
"Director of Chongqing Artificial Intelligence Association Chongqing, China","Chongqing Shi, China"
"Shenyang Ligong University, Liaoning, China","110159 China, Liaoning, Shenyang City, Wusan, 新新斜路 6号, Shenyang Ligong University"
"Sichuan Agricultural University, Sichuan, China","611130 China, Sichuan, Wenjiang District, Gongping, 天乡路一段 211号, Sichuan Agricultural University (Chengdu Campus)"
"Shanghai University of Finance and Economics, Shanghai, China","200433 China, Shanghai, Yangpu District, Wujiaochang, Guoding Road, Shanghai University of Finance and Economics"
"Shandong Vocational College of Science and Technology, Weifang, China","Weifang, Shandong Sheng, China"
"Research Center of Big Data Technology Nanhu Laboratory, JiaXing, China","Jiaxing, Zhejiang Sheng, China"
"Peking University Beijing, China","100871 China, Beijing, Haidian District, 颐和园路 5号, Peking University"
"San Jose CA, USA","San Jose, California, United States of America"
"San José State University, San Jose, USA","San José State University, 1 South 7th Street, San Jose, CA 95192, United States of America"
Pacific Northwest National Laboratory,Pacific Northwest National Laboratory
"University of Washington, United States","University of Washington, Ravenna Avenue Northeast, Seattle, WA 98015, United States of America"
"UTM Johor Bahru, Malaysia","Perumahan Staf UTM Desa Skudai, Jalan Sejahtera 16, Taman Universiti, 81380 Iskandar Puteri, Johor, Malaysia"
"Universiti Teknologi Malaysia Johor, Malaysia","University of Technology, Malaysia, Jalan Iman, 81310 Iskandar Puteri, Johor, Malaysia"
"University of Copenhagen Copenhagen, Denmark","University of Copenhagen, Fiolstræde, 1172 København K, Denmark"
"Beijing Jiaotong University Beijing, China","100044 China, Beijing, Haidian District, Beixiaguan, 红果园路, Beijing Jiaotong University"
"Guangdong Ocean University Zhanjiang, China","China, Guangdong Province, Xiashan District, Minzhi Road, Guangdong Ocean University Xiashan Campus"
"Wuhan University of Technology Wuhan, China","430063 China, Hubei, Wuchang District, 杨园街道, 和平大道 1178, Wuhan University of Technology"
"Ltd Kunming, China","650000 China, Yunnan, Kunming, Qingyun Subdistrict, Beichen Avenue, Kunming Cellulose Fibers CO LTD"
"Network Information Center of Yunnan State Grid Company, Kunming, China","Kunming, Yunnan, China"
"Qiangdao University Qingdao, China","Qingdao, Shandong Sheng, China"
"Dallas TX, USA","Dallas, Texas, United States of America"
